Feature,Importance
age,0.37208484814269127
products_number,0.2903483758281411
active_products_interaction,0.06985698971796662
active_member,0.06921178728527236
balance,0.04651749944149449
country_encoded,0.03854186165281234
balance_to_salary_ratio,0.027482377990531326
age_group,0.02207841118096341
credit_score,0.01869946569422825
estimated_salary,0.018106692663717013
gender_encoded,0.014602869397942754
balance_category,0.0043470348406833125
products_per_tenure,0.0033886776520361418
tenure,0.003124978972420117
credit_card,0.0010296110939585137
has_balance,0.0005785184451410428
tenure_category,0.0
credit_score_category,0.0
